ano,idade,sexo,area,total
2002,30 a 34 anos,Mulher,Rural,
2002,35 a 39 anos,Mulher,Rural,
2002,40 a 44 anos,Mulher,Rural,
2002,45 a 49 anos,Mulher,Rural,
2002,50 a 54 anos,Mulher,Rural,
2002,55 a 59 anos,Mulher,Rural,
2002,60 a 64 anos,Mulher,Rural,
2002,65 a 69 anos,Mulher,Rural,
2002,70 a 74 anos,Mulher,Rural,
2002,75 a 79 anos,Mulher,Rural,
2002,80 a 100 anos,Mulher,Rural,
2003,0 a 4 anos,Homem,Urbana,
2003,5 a 9 anos,Homem,Urbana,
2003,10 a 14 anos,Homem,Urbana,
2003,15 a 19 anos,Homem,Urbana,10
2003,20 a 24 anos,Homem,Urbana,
2003,25 a 29 anos,Homem,Urbana,10
2003,30 a 34 anos,Homem,Urbana,
2003,35 a 39 anos,Homem,Urbana,
2003,40 a 44 anos,Homem,Urbana,
2003,45 a 49 anos,Homem,Urbana,
2003,50 a 54 anos,Homem,Urbana,
2003,55 a 59 anos,Homem,Urbana,
2003,60 a 64 anos,Homem,Urbana,10
2003,65 a 69 anos,Homem,Urbana,
2003,70 a 74 anos,Homem,Urbana,
2003,75 a 79 anos,Homem,Urbana,
2003,80 a 100 anos,Homem,Urbana,
2003,0 a 4 anos,Mulher,Urbana,
2003,5 a 9 anos,Mulher,Urbana,
2003,10 a 14 anos,Mulher,Urbana,
2003,15 a 19 anos,Mulher,Urbana,
2003,20 a 24 anos,Mulher,Urbana,10
2003,25 a 29 anos,Mulher,Urbana,
2003,30 a 34 anos,Mulher,Urbana,
2003,35 a 39 anos,Mulher,Urbana,
2003,40 a 44 anos,Mulher,Urbana,
2003,45 a 49 anos,Mulher,Urbana,
2003,50 a 54 anos,Mulher,Urbana,
2003,55 a 59 anos,Mulher,Urbana,
2003,60 a 64 anos,Mulher,Urbana,
2003,65 a 69 anos,Mulher,Urbana,
2003,70 a 74 anos,Mulher,Urbana,
2003,75 a 79 anos,Mulher,Urbana,
2003,80 a 100 anos,Mulher,Urbana,
2003,0 a 4 anos,Homem,Rural,
2003,5 a 9 anos,Homem,Rural,
2003,10 a 14 anos,Homem,Rural,
2003,15 a 19 anos,Homem,Rural,
2003,20 a 24 anos,Homem,Rural,
2003,25 a 29 anos,Homem,Rural,
2003,30 a 34 anos,Homem,Rural,11
2003,35 a 39 anos,Homem,Rural,
2003,40 a 44 anos,Homem,Rural,
2003,45 a 49 anos,Homem,Rural,
2003,50 a 54 anos,Homem,Rural,
2003,55 a 59 anos,Homem,Rural,
2003,60 a 64 anos,Homem,Rural,
2003,65 a 69 anos,Homem,Rural,
2003,70 a 74 anos,Homem,Rural,
2003,75 a 79 anos,Homem,Rural,
2003,80 a 100 anos,Homem,Rural,
2003,0 a 4 anos,Mulher,Rural,
2003,5 a 9 anos,Mulher,Rural,
2003,10 a 14 anos,Mulher,Rural,
2003,15 a 19 anos,Mulher,Rural,
2003,20 a 24 anos,Mulher,Rural,
2003,25 a 29 anos,Mulher,Rural,
2003,30 a 34 anos,Mulher,Rural,
2003,35 a 39 anos,Mulher,Rural,
2003,40 a 44 anos,Mulher,Rural,
2003,45 a 49 anos,Mulher,Rural,
2003,50 a 54 anos,Mulher,Rural,
2003,55 a 59 anos,Mulher,Rural,
2003,60 a 64 anos,Mulher,Rural,
2003,65 a 69 anos,Mulher,Rural,
2003,70 a 74 anos,Mulher,Rural,
2003,75 a 79 anos,Mulher,Rural,
2003,80 a 100 anos,Mulher,Rural,
2004,0 a 4 anos,Homem,Urbana,
2004,5 a 9 anos,Homem,Urbana,27
2004,10 a 14 anos,Homem,Urbana,
2004,15 a 19 anos,Homem,Urbana,10
2004,20 a 24 anos,Homem,Urbana,
2004,25 a 29 anos,Homem,Urbana,10
2004,30 a 34 anos,Homem,Urbana,10
2004,35 a 39 anos,Homem,Urbana,
2004,40 a 44 anos,Homem,Urbana,10
2004,45 a 49 anos,Homem,Urbana,
