ano,idade,sexo,nascimento
2005,16 anos,Homem,6
2005,17 anos,Homem,18
2005,18 anos,Homem,24
2005,19 anos,Homem,26
2005,20 a 24 anos,Homem,118
2005,20 anos,Homem,33
2005,21 anos,Homem,21
2005,22 anos,Homem,27
2005,23 anos,Homem,20
2005,24 anos,Homem,17
2005,25 a 29 anos,Homem,66
2005,25 anos,Homem,23
2005,26 anos,Homem,11
2005,27 anos,Homem,18
2005,28 anos,Homem,7
2005,29 anos,Homem,7
2005,30 a 34 anos,Homem,38
2005,30 anos,Homem,12
2005,31 anos,Homem,4
2005,32 anos,Homem,9
2005,33 anos,Homem,6
2005,34 anos,Homem,7
2005,35 a 39 anos,Homem,16
2005,35 anos,Homem,8
2005,36 anos,Homem,5
2005,37 anos,Homem,2
2005,38 anos,Homem,
2005,39 anos,Homem,1
2005,40 a 44 anos,Homem,4
2005,40 anos,Homem,1
2005,41 anos,Homem,2
2005,42 anos,Homem,1
2005,43 anos,Homem,
2005,44 anos,Homem,
2005,45 a 49 anos,Homem,
2005,45 anos,Homem,
2005,46 anos,Homem,
2005,47 anos,Homem,
2005,48 anos,Homem,
2005,49 anos,Homem,
2005,50 anos ou mais,Homem,
2005,Ignorada,Homem,1
2005,Menos de 15 anos,Mulher,6
2005,15 a 19 anos,Mulher,76
2005,15 anos,Mulher,9
2005,16 anos,Mulher,7
2005,17 anos,Mulher,18
2005,18 anos,Mulher,19
2005,19 anos,Mulher,23
2005,20 a 24 anos,Mulher,125
2005,20 anos,Mulher,37
2005,21 anos,Mulher,22
2005,22 anos,Mulher,25
2005,23 anos,Mulher,24
2005,24 anos,Mulher,17
2005,25 a 29 anos,Mulher,73
2005,25 anos,Mulher,16
2005,26 anos,Mulher,17
2005,27 anos,Mulher,7
2005,28 anos,Mulher,16
2005,29 anos,Mulher,17
2005,30 a 34 anos,Mulher,27
2005,30 anos,Mulher,10
2005,31 anos,Mulher,3
2005,32 anos,Mulher,
2005,33 anos,Mulher,3
2005,34 anos,Mulher,11
2005,35 a 39 anos,Mulher,17
2005,35 anos,Mulher,3
2005,36 anos,Mulher,3
2005,37 anos,Mulher,3
2005,38 anos,Mulher,6
2005,39 anos,Mulher,2
2005,40 a 44 anos,Mulher,7
2005,40 anos,Mulher,4
2005,41 anos,Mulher,2
2005,42 anos,Mulher,1
2005,43 anos,Mulher,
2005,44 anos,Mulher,
2005,45 a 49 anos,Mulher,1
2005,45 anos,Mulher,1
2005,46 anos,Mulher,
2005,47 anos,Mulher,
2005,48 anos,Mulher,
2005,49 anos,Mulher,
2005,50 anos ou mais,Mulher,
2005,Ignorada,Mulher,1
2006,Menos de 15 anos,Homem,
2006,15 a 19 anos,Homem,74
2006,15 anos,Homem,11
2006,16 anos,Homem,11
2006,17 anos,Homem,12
2006,18 anos,Homem,22
2006,19 anos,Homem,18
2006,20 a 24 anos,Homem,86
2006,20 anos,Homem,21
