ano,idade,sexo,total
2004,2 meses,Homem,2
2004,3 meses,Homem,
2004,4 meses,Homem,
2004,5 meses,Homem,1
2004,6 meses,Homem,
2004,7 meses,Homem,
2004,8 meses,Homem,
2004,9 meses,Homem,
2004,10 meses,Homem,
2004,11 meses,Homem,1
2004,1 a 14 anos,Homem,1
2004,1 a 4 anos,Homem,1
2004,1 ano,Homem,1
2004,2 anos,Homem,
2004,3 anos,Homem,
2004,4 anos,Homem,
2004,5 a 9 anos,Homem,
2004,5 anos,Homem,
2004,6 anos,Homem,
2004,7 anos,Homem,
2004,8 anos,Homem,
2004,9 anos,Homem,
2004,10 a 14 anos,Homem,
2004,10 anos,Homem,
2004,11 anos,Homem,
2004,12 anos,Homem,
2004,13 anos,Homem,
2004,14 anos,Homem,
2004,15 a 84 anos,Homem,50
2004,15 a 19 anos,Homem,1
2004,20 a 24 anos,Homem,3
2004,25 a 29 anos,Homem,3
2004,30 a 34 anos,Homem,2
2004,35 a 39 anos,Homem,2
2004,40 a 44 anos,Homem,2
2004,45 a 49 anos,Homem,4
2004,50 a 54 anos,Homem,3
2004,55 a 59 anos,Homem,7
2004,60 a 64 anos,Homem,6
2004,65 a 69 anos,Homem,2
2004,70 a 74 anos,Homem,7
2004,75 a 79 anos,Homem,3
2004,80 a 84 anos,Homem,5
2004,85 anos ou mais,Homem,9
2004,85 a 89 anos,Homem,5
2004,85 anos,Homem,2
2004,86 anos,Homem,
2004,87 anos,Homem,1
2004,88 anos,Homem,
2004,89 anos,Homem,2
2004,90 a 94 anos,Homem,3
2004,90 anos,Homem,1
2004,91 anos,Homem,1
2004,92 anos,Homem,1
2004,93 anos,Homem,
2004,94 anos,Homem,
2004,95 a 99 anos,Homem,1
2004,95 anos,Homem,
2004,96 anos,Homem,1
2004,97 anos,Homem,
2004,98 anos,Homem,
2004,99 anos,Homem,
2004,100 anos ou mais,Homem,
2004,Idade ignorada,Homem,
2004,Menos de 1 ano,Mulher,3
2004,Menos de 7 dias,Mulher,1
2004,Menos de 1 dia,Mulher,1
2004,1 dia,Mulher,
2004,2 dias,Mulher,
2004,3 dias,Mulher,
2004,4 dias,Mulher,
2004,5 dias,Mulher,
2004,6 dias,Mulher,
2004,7 a 27 dias,Mulher,
2004,7 a 13 dias,Mulher,
2004,14 a 20 dias,Mulher,
2004,21 a 27 dias,Mulher,
2004,28 a 364 dias,Mulher,2
2004,28 a 59 dias,Mulher,
2004,60 a 364 dias,Mulher,2
2004,2 meses,Mulher,
2004,3 meses,Mulher,
2004,4 meses,Mulher,1
2004,5 meses,Mulher,1
2004,6 meses,Mulher,
2004,7 meses,Mulher,
2004,8 meses,Mulher,
2004,9 meses,Mulher,
2004,10 meses,Mulher,
2004,11 meses,Mulher,
2004,1 a 14 anos,Mulher,4
2004,1 a 4 anos,Mulher,3
2004,1 ano,Mulher,3
2004,2 anos,Mulher,
2004,3 anos,Mulher,
2004,4 anos,Mulher,
2004,5 a 9 anos,Mulher,
2004,5 anos,Mulher,
2004,6 anos,Mulher,
2004,7 anos,Mulher,
2004,8 anos,Mulher,
2004,9 anos,Mulher,
2004,10 a 14 anos,Mulher,1
2004,10 anos,Mulher,
2004,11 anos,Mulher,1
2004,12 anos,Mulher,
2004,13 anos,Mulher,
2004,14 anos,Mulher,
2004,15 a 84 anos,Mulher,22
2004,15 a 19 anos,Mulher,
2004,20 a 24 anos,Mulher,3
2004,25 a 29 anos,Mulher,
2004,30 a 34 anos,Mulher,
2004,35 a 39 anos,Mulher,2
2004,40 a 44 anos,Mulher,2
2004,45 a 49 anos,Mulher,
2004,50 a 54 anos,Mulher,
2004,55 a 59 anos,Mulher,3
2004,60 a 64 anos,Mulher,1
2004,65 a 69 anos,Mulher,2
2004,70 a 74 anos,Mulher,3
2004,75 a 79 anos,Mulher,1
2004,80 a 84 anos,Mulher,5
2004,85 anos ou mais,Mulher,8
2004,85 a 89 anos,Mulher,2
2004,85 anos,Mulher,1
2004,86 anos,Mulher,
2004,87 anos,Mulher,1
2004,88 anos,Mulher,
2004,89 anos,Mulher,
2004,90 a 94 anos,Mulher,4
2004,90 anos,Mulher,1
2004,91 anos,Mulher,2
2004,92 anos,Mulher,1
2004,93 anos,Mulher,
2004,94 anos,Mulher,
2004,95 a 99 anos,Mulher,1
2004,95 anos,Mulher,1
2004,96 anos,Mulher,
2004,97 anos,Mulher,
2004,98 anos,Mulher,
2004,99 anos,Mulher,
2004,100 anos ou mais,Mulher,1
2004,Idade ignorada,Mulher,
2005,Menos de 1 ano,Homem,2
2005,Menos de 7 dias,Homem,1
2005,Menos de 1 dia,Homem,1
2005,1 dia,Homem,
2005,2 dias,Homem,
2005,3 dias,Homem,
2005,4 dias,Homem,
2005,5 dias,Homem,
2005,6 dias,Homem,
2005,7 a 27 dias,Homem,
2005,7 a 13 dias,Homem,
2005,14 a 20 dias,Homem,
2005,21 a 27 dias,Homem,
2005,28 a 364 dias,Homem,1
2005,28 a 59 dias,Homem,
2005,60 a 364 dias,Homem,1
2005,2 meses,Homem,
2005,3 meses,Homem,
2005,4 meses,Homem,
2005,5 meses,Homem,
2005,6 meses,Homem,
2005,7 meses,Homem,
2005,8 meses,Homem,
